open_time,open,high,low,close,volume,close_time,quote_asset_volume,nb_trades,taker_buy_base,taker_buy_quote,ignore,sma_7,sma_30,sma_50,sma_100,return,volatility_20,rsi_14,ema_12,ema_26,MACD,Signal,MACD_Hist,volume_sma20,volume_rel
2025-04-28 12:00:00,95319.99,95630.0,95056.0,95350.69,2035.1513,1745845199999,194097212.99193960,177676,1289.38139000,122986059.84952700,0,,,,,,,,95350.69,95350.69,0.0,0.0,0.0,,
2025-04-28 13:00:00,95350.69,95518.5,93926.81,93965.7,2653.72474,1745848799999,251614024.19667700,305427,1062.66238000,100838848.82655890,0,,,,,-0.014525222628174017,,,95137.6146153846,95248.09814814814,-110.48353276353737,-22.096706552707474,-88.3868262108299,,
2025-04-28 14:00:00,93965.7,94900.0,93850.0,94417.73,1173.25656,1745852399999,110819570.49612150,267726,622.10461000,58763042.03835220,0,,,,,0.00481058513904542,,,95026.86313609467,95186.58939643347,-159.7262603387935,-49.62261730992468,-110.10364302886883,,
2025-04-28 15:00:00,94417.73,94523.81,93583.9,93833.51,1012.72231,1745855999999,95042244.01622590,257117,369.44869000,34673965.89813480,0,,,,,-0.006187609043343922,,,94843.27034592627,95086.36129299396,-243.0909470676852,-88.31628326147678,-154.77466380620842,,
2025-04-28 16:00:00,93833.5,94032.18,93444.0,93734.04,785.42906,1745859599999,73593993.42944550,188826,399.55315000,37441765.84239020,0,,,,,-0.0010600690520902178,,,94672.61952347607,94986.18934536478,-313.5698218887119,-133.3669909869238,-180.20283090178808,,
2025-04-28 17:00:00,93734.04,94110.0,93492.23,94100.39,398.76014,1745863199999,37390184.42363870,112923,221.39733000,20761861.34453360,0,,,,,0.003908398699127957,,,94584.58421217205,94920.57457904145,-335.99036686940235,-173.89166616341953,-162.09870070598282,,
2025-04-28 18:00:00,94100.39,94222.0,93787.61,94175.89,362.03308,1745866799999,34013060.44828620,93803,118.99130000,11183734.47260850,0,94225.42142857143,,,,0.0008023346130658915,,,94521.7081795302,94865.41275837172,-343.7045788415271,-207.85424869904105,-135.85033014248606,,
2025-04-28 19:00:00,94175.89,94920.0,94160.61,94787.2,738.28237,1745870399999,69901588.02711660,141723,414.57835000,39249788.33422390,0,94144.92285714287,,,,0.0064911518224037845,,,94562.5530749871,94859.61922071455,-297.06614572745457,-225.69662810472374,-71.36951762273083,,
2025-04-28 20:00:00,94786.73,94808.8,94373.35,94469.67,278.98826,1745873999999,26387865.70884870,70377,116.61148000,11030878.70891500,0,94216.91857142856,,,,-0.0033499248843725793,,,94548.26337114292,94830.73409325421,-282.47072211129125,-237.05144690603726,-45.419275205253996,,
2025-04-28 21:00:00,94469.66,94550.0,94305.95,94549.97,195.96012,1745877599999,18502746.92831620,46494,89.72867000,8472168.23468350,0,94235.80999999998,,,,0.0008500082619109506,,,94548.52592942864,94809.93675301316,-261.4108235845197,-241.92332224173376,-19.48750134278592,,
2025-04-28 22:00:00,94549.97,94879.08,94480.0,94809.52,344.51726,1745881199999,32608946.87300800,90743,163.38718000,15466033.46309230,0,94375.23999999999,,,,0.0027451092792520893,,,94588.6788633627,94809.90588241958,-221.22701905688155,-237.78406160476334,16.557042547881792,,
2025-04-28 23:00:00,94809.52,95180.0,94792.52,95011.18,768.18162,1745884799999,73000220.15854100,95214,517.60506000,49189454.48101750,0,94557.68857142856,,,,0.0021270015922449925,,,94653.67903822997,94824.81507631444,-171.13603808447078,-224.45445690070486,53.31841881623407,,
2025-04-29 00:00:00,95011.18,95233.48,94829.3,95065.27,403.75166,1745888399999,38368842.21713700,113688,224.03055000,21292565.23707290,0,94695.52857142859,,,,0.000569301423264168,,,94717.00072465613,94842.626552143,-125.62582748687419,-204.68873101793872,79.06290353106453,,
2025-04-29 01:00:00,95065.27,95461.53,94735.78,94857.49,993.29082,1745891999999,94508004.99060920,199907,480.95694000,45779834.19526680,0,94792.90000000001,,,,-0.0021856562338695706,,44.747357703662416,94738.61445932442,94843.72754828056,-105.11308895613183,-184.77360260557737,79.66051364944553,,
2025-04-29 02:00:00,94857.49,94956.18,94504.81,94615.68,582.54028,1745895599999,55189168.49391170,159059,298.02467000,28235869.82265170,0,94768.39714285712,,,,-0.0025491924781059216,,42.55548870779217,94719.70146558221,94826.8351372968,-107.13367171458958,-169.24561642737982,62.11194471279023,,
2025-04-29 03:00:00,94615.69,94809.53,94443.7,94658.76,375.84575,1745899199999,35562637.48234880,80944,176.79188000,16730496.28213570,0,94795.41,,,,0.00045531565169754096,,59.64007922819268,94710.32585549264,94814.38512712666,-104.05927163401793,-156.20834746870744,52.14907583468951,,
2025-04-29 04:00:00,94658.75,94872.0,94290.07,94353.32,709.69675,1745902799999,67064623.17466470,105107,206.90641000,19564170.05374240,0,94767.31714285714,,,,-0.0032267483748993353,,49.06600465765121,94655.40187772455,94780.2321547469,-124.83027702235267,-149.9327333794365,25.102456357083838,,
2025-04-29 05:00:00,94353.32,94417.97,94200.0,94276.49,1647.45956,1745906399999,155349591.05874360,111980,186.39497000,17575674.87549840,0,94691.17000000001,,,,-0.000814279773091231,,57.53188016458681,94597.10774269,94742.91792106195,-145.81017837194668,-149.10822237793855,3.298044005991869,,
2025-04-29 06:00:00,94276.49,94811.29,94258.41,94780.0,377.80111,1745909999999,35748908.29424880,79447,212.83293000,20141226.10345500,0,94658.14428571428,,,,0.0053407800820755025,,65.63589397083189,94625.2450130454,94745.66474172403,-120.4197286786366,-143.37052363807817,22.950794959441566,,
2025-04-29 07:00:00,94780.01,94960.0,94704.81,94917.61,361.94456,1745913599999,34324200.93535400,63505,184.07195000,17457511.43627990,0,94637.05,,,,0.0014518885840895113,,63.11328626444161,94670.22424180765,94758.40142752226,-88.17718571460864,-132.33185605338426,44.15467033877562,809.9668655,0.4468634155504229
2025-04-29 08:00:00,94917.61,95093.55,94812.86,95030.0,502.20502,1745917199999,47682976.65028880,83059,235.55956000,22367309.78726250,0,94661.69428571429,,,,0.0011840795401401039,0.004645362005737522,63.54487470225731,94725.57435845262,94778.51984029838,-52.94548184575979,-116.45458121185938,63.50909936609959,733.3195515,0.6848378977114999
2025-04-29 09:00:00,95030.01,95094.25,94787.15,94989.28,366.65829,1745920799999,34805034.06529680,79905,156.94632000,14899223.42832180,0,94715.06571428572,,,,-0.0004284962643376078,0.0031931872055581054,53.91279092282076,94766.14445715222,94794.13170397998,-27.987246827760828,-98.76111433503968,70.77386750727885,618.966229,0.5923720436127381
2025-04-29 10:00:00,94989.28,95042.61,94743.01,94817.32,592.08053,1745924399999,56178454.64971180,71975,170.62244000,16193487.55216390,0,94737.71714285715,,,,-0.0018103095422977722,0.0030686478856015247,57.133535516860896,94774.01761759033,94795.84935553702,-21.831737946689827,-83.37523905736971,61.543501110679884,589.9074275,1.0036838025742605
2025-04-29 11:00:00,94817.32,95285.71,94810.63,95129.74,909.96441,1745927999999,86554349.27628950,109888,463.51040000,44080574.26190080,0,94848.63428571427,,,,0.00329496762827719,0.002742452083463642,60.861794405830345,94828.74413796105,94820.58199586761,8.162142093438888,-65.06776282720799,73.22990492064687,584.7695325,1.556107764557655
2025-04-29 12:00:00,95129.74,95164.35,94779.33,94813.14,647.8607,1745931599999,61521663.51955740,91239,228.68827000,21718160.33110650,0,94925.29857142856,,,,-0.003328086463812552,0.0028628649891610774,50.06640008804423,94826.34350135166,94820.03073691446,6.312764437199803,-50.791657374326434,57.10442181152624,577.8911145,1.1210774551544
2025-04-29 13:00:00,94813.14,95033.7,94590.48,94800.01,835.05,1745935199999,79167139.21740270,159338,401.17895000,38037878.95843180,0,94928.15714285713,,,,-0.00013848291492091214,0.002755986386419519,45.83880159377628,94822.2921934514,94818.54771936523,3.7444740861683385,-39.88443108222748,43.62890516839582,599.7056074999999,1.392433203152932
